zone_id,zone_type,date,day_of_week,day_type,hour_of_day,is_holiday,temperature_c,ev_adoption_index,actual_demand_kw,baseline_demand_kw,lag_1h,lag_24h,rolling_mean_24h
Electronic City,tech_park,2026-02-01,Sunday,weekend,0,0,23.5,0.38,12018.66,11770.76,12018.66,12018.66,12018.66
Electronic City,tech_park,2026-02-01,Sunday,weekend,1,0,23.5,0.38,8719.77,8828.07,12018.66,8719.77,10369.22
Electronic City,tech_park,2026-02-01,Sunday,weekend,2,0,23.5,0.38,6832.32,7062.45,8719.77,6832.32,7776.05
Electronic City,tech_park,2026-02-01,Sunday,weekend,3,0,23.5,0.38,5296.63,5885.38,6832.32,5296.63,6064.48
Electronic City,tech_park,2026-02-01,Sunday,weekend,4,0,23.5,0.38,6355.93,7062.45,5296.63,6355.93,5826.28
Electronic City,tech_park,2026-02-01,Sunday,weekend,5,0,23.5,0.38,7813.2,8828.07,6355.93,7813.2,7084.57
Electronic City,tech_park,2026-02-01,Sunday,weekend,6,0,23.5,0.38,17800.55,17656.13,7813.2,17800.55,12806.88
Electronic City,tech_park,2026-02-01,Sunday,weekend,7,0,23.5,0.38,31326.92,32369.58,17800.55,31326.92,24563.74
Electronic City,tech_park,2026-02-01,Sunday,weekend,8,0,23.5,0.38,43437.94,44140.33,31326.92,43437.94,37382.43
Electronic City,tech_park,2026-02-01,Sunday,weekend,9,0,23.5,0.38,41401.38,47083.02,43437.94,41401.38,42419.66
Electronic City,tech_park,2026-02-01,Sunday,weekend,10,0,23.5,0.38,43391.13,42374.72,41401.38,43391.13,42396.25
Electronic City,tech_park,2026-02-01,Sunday,weekend,11,0,23.5,0.38,35419.58,35312.27,43391.13,35419.58,39405.35
Electronic City,tech_park,2026-02-01,Sunday,weekend,12,0,23.5,0.38,29409.28,32369.58,35419.58,29409.28,32414.43
Electronic City,tech_park,2026-02-01,Sunday,weekend,13,0,23.5,0.38,26598.88,29426.89,29409.28,26598.88,28004.08
Electronic City,tech_park,2026-02-01,Sunday,weekend,14,0,23.5,0.38,29266.56,32369.58,26598.88,29266.56,27932.72
Electronic City,tech_park,2026-02-01,Sunday,weekend,15,0,23.5,0.38,32577.38,35312.27,29266.56,32577.38,30921.97
Electronic City,tech_park,2026-02-01,Sunday,weekend,16,0,23.5,0.38,39391.27,41197.65,32577.38,39391.27,35984.32
Electronic City,tech_park,2026-02-01,Sunday,weekend,17,0,23.5,0.38,47124.76,50025.71,39391.27,47124.76,43258.01
Electronic City,tech_park,2026-02-01,Sunday,weekend,18,0,23.5,0.38,48761.03,65579.93,47124.76,48761.03,47942.9
Electronic City,tech_park,2026-02-01,Sunday,weekend,19,0,23.5,0.38,45643.47,58293.27,48761.03,45643.47,47202.25
Electronic City,tech_park,2026-02-01,Sunday,weekend,20,0,23.5,0.38,34331.78,47363.28,45643.47,34331.78,39987.62
Electronic City,tech_park,2026-02-01,Sunday,weekend,21,0,23.5,0.38,27093.57,36433.29,34331.78,27093.57,30712.67
Electronic City,tech_park,2026-02-01,Sunday,weekend,22,0,23.5,0.38,19198.45,20598.82,27093.57,19198.45,23146.01
Electronic City,tech_park,2026-02-01,Sunday,weekend,23,0,23.5,0.38,13914.31,14713.44,19198.45,13914.31,16556.38
Electronic City,tech_park,2026-02-02,Monday,weekday,0,0,25.1,0.38,17785.94,19617.93,13914.31,12018.66,12966.49
Electronic City,tech_park,2026-02-02,Monday,weekday,1,0,25.1,0.38,14044.72,14713.44,17785.94,8719.77,13252.85
Electronic City,tech_park,2026-02-02,Monday,weekday,2,0,25.1,0.38,11376.0,11770.76,14044.72,6832.32,10438.52
Electronic City,tech_park,2026-02-02,Monday,weekday,3,0,25.1,0.38,8663.95,9808.96,11376.0,5296.63,8336.32
Electronic City,tech_park,2026-02-02,Monday,weekday,4,0,25.1,0.38,11403.14,11770.76,8663.95,6355.93,7509.94
Electronic City,tech_park,2026-02-02,Monday,weekday,5,0,25.1,0.38,13274.1,14713.44,11403.14,7813.2,9608.17
Electronic City,tech_park,2026-02-02,Monday,weekday,6,0,25.1,0.38,26075.26,29426.89,13274.1,17800.55,15537.33
Electronic City,tech_park,2026-02-02,Monday,weekday,7,0,25.1,0.38,55070.5,53949.3,26075.26,31326.92,28701.09
Electronic City,tech_park,2026-02-02,Monday,weekday,8,0,25.1,0.38,75283.87,73567.22,55070.5,43437.94,49254.22
Electronic City,tech_park,2026-02-02,Monday,weekday,9,0,25.1,0.38,78422.65,78471.71,75283.87,41401.38,58342.62
Electronic City,tech_park,2026-02-02,Monday,weekday,10,0,25.1,0.38,65158.75,70624.54,78422.65,43391.13,60906.89
Electronic City,tech_park,2026-02-02,Monday,weekday,11,0,25.1,0.38,52443.06,58853.78,65158.75,35419.58,50289.17
Electronic City,tech_park,2026-02-02,Monday,weekday,12,0,25.1,0.38,52894.84,53949.3,52443.06,29409.28,40926.17
Electronic City,tech_park,2026-02-02,Monday,weekday,13,0,25.1,0.38,46262.08,49044.82,52894.84,26598.88,39746.86
Electronic City,tech_park,2026-02-02,Monday,weekday,14,0,25.1,0.38,48273.12,53949.3,46262.08,29266.56,37764.32
Electronic City,tech_park,2026-02-02,Monday,weekday,15,0,25.1,0.38,56007.96,58853.78,48273.12,32577.38,40425.25
Electronic City,tech_park,2026-02-02,Monday,weekday,16,0,25.1,0.38,60521.45,68662.74,56007.96,39391.27,47699.61
Electronic City,tech_park,2026-02-02,Monday,weekday,17,0,25.1,0.38,84606.29,83376.19,60521.45,47124.76,53823.1
Electronic City,tech_park,2026-02-02,Monday,weekday,18,0,25.1,0.38,80831.87,109299.88,84606.29,48761.03,66683.66
Electronic City,tech_park,2026-02-02,Monday,weekday,19,0,25.1,0.38,76678.33,97155.45,80831.87,45643.47,63237.67
Electronic City,tech_park,2026-02-02,Monday,weekday,20,0,25.1,0.38,58892.82,78938.8,76678.33,34331.78,55505.06
Electronic City,tech_park,2026-02-02,Monday,weekday,21,0,25.1,0.38,46859.33,60722.15,58892.82,27093.57,42993.19
Electronic City,tech_park,2026-02-02,Monday,weekday,22,0,25.1,0.38,32940.91,34331.37,46859.33,19198.45,33028.89
Electronic City,tech_park,2026-02-02,Monday,weekday,23,0,25.1,0.38,22177.06,24522.41,32940.91,13914.31,23427.61
Electronic City,tech_park,2026-02-03,Tuesday,weekday,0,0,25.9,0.38,19506.22,19617.93,22177.06,17785.94,19981.5
Electronic City,tech_park,2026-02-03,Tuesday,weekday,1,0,25.9,0.38,14998.18,14713.44,19506.22,14044.72,16775.47
Electronic City,tech_park,2026-02-03,Tuesday,weekday,2,0,25.9,0.38,11918.42,11770.76,14998.18,11376.0,13187.09
Electronic City,tech_park,2026-02-03,Tuesday,weekday,3,0,25.9,0.38,9488.2,9808.96,11918.42,8663.95,10291.19
Electronic City,tech_park,2026-02-03,Tuesday,weekday,4,0,25.9,0.38,11966.93,11770.76,9488.2,11403.14,10445.67
Electronic City,tech_park,2026-02-03,Tuesday,weekday,5,0,25.9,0.38,13090.18,14713.44,11966.93,13274.1,12620.51
Electronic City,tech_park,2026-02-03,Tuesday,weekday,6,0,25.9,0.38,26662.37,29426.89,13090.18,26075.26,19582.72
Electronic City,tech_park,2026-02-03,Tuesday,weekday,7,0,25.9,0.38,47641.67,53949.3,26662.37,55070.5,40866.43
Electronic City,tech_park,2026-02-03,Tuesday,weekday,8,0,25.9,0.38,68105.93,73567.22,47641.67,75283.87,61462.77
Electronic City,tech_park,2026-02-03,Tuesday,weekday,9,0,25.9,0.38,73403.81,78471.71,68105.93,78422.65,73264.29
Electronic City,tech_park,2026-02-03,Tuesday,weekday,10,0,25.9,0.38,64800.76,70624.54,73403.81,65158.75,69281.28
Electronic City,tech_park,2026-02-03,Tuesday,weekday,11,0,25.9,0.38,58999.4,58853.78,64800.76,52443.06,58621.91
Electronic City,tech_park,2026-02-03,Tuesday,weekday,12,0,25.9,0.38,50202.68,53949.3,58999.4,52894.84,55947.12
Electronic City,tech_park,2026-02-03,Tuesday,weekday,13,0,25.9,0.38,45072.16,49044.82,50202.68,46262.08,48232.38
Electronic City,tech_park,2026-02-03,Tuesday,weekday,14,0,25.9,0.38,51731.28,53949.3,45072.16,48273.12,46672.64
Electronic City,tech_park,2026-02-03,Tuesday,weekday,15,0,25.9,0.38,52830.96,58853.78,51731.28,56007.96,53869.62
Electronic City,tech_park,2026-02-03,Tuesday,weekday,16,0,25.9,0.38,68554.94,68662.74,52830.96,60521.45,56676.21
Electronic City,tech_park,2026-02-03,Tuesday,weekday,17,0,25.9,0.38,74000.58,83376.19,68554.94,84606.29,76580.61
Electronic City,tech_park,2026-02-03,Tuesday,weekday,18,0,25.9,0.38,90626.57,109299.88,74000.58,80831.87,77416.23
Electronic City,tech_park,2026-02-03,Tuesday,weekday,19,0,25.9,0.38,77990.35,97155.45,90626.57,76678.33,83652.45
Electronic City,tech_park,2026-02-03,Tuesday,weekday,20,0,25.9,0.38,57795.01,78938.8,77990.35,58892.82,68441.59
Electronic City,tech_park,2026-02-03,Tuesday,weekday,21,0,25.9,0.38,43013.87,60722.15,57795.01,46859.33,52327.17
Electronic City,tech_park,2026-02-03,Tuesday,weekday,22,0,25.9,0.38,34346.86,34331.37,43013.87,32940.91,37977.39
Electronic City,tech_park,2026-02-03,Tuesday,weekday,23,0,25.9,0.38,24127.65,24522.41,34346.86,22177.06,28261.96
Electronic City,tech_park,2026-02-04,Wednesday,weekday,0,0,24.9,0.38,19494.67,19617.93,24127.65,19506.22,21816.94
Electronic City,tech_park,2026-02-04,Wednesday,weekday,1,0,24.9,0.38,13057.79,14713.44,19494.67,14998.18,17246.42
Electronic City,tech_park,2026-02-04,Wednesday,weekday,2,0,24.9,0.38,10956.38,11770.76,13057.79,11918.42,12488.1
Electronic City,tech_park,2026-02-04,Wednesday,weekday,3,0,24.9,0.38,8767.71,9808.96,10956.38,9488.2,10222.29
Electronic City,tech_park,2026-02-04,Wednesday,weekday,4,0,24.9,0.38,11861.52,11770.76,8767.71,11966.93,10367.32
Electronic City,tech_park,2026-02-04,Wednesday,weekday,5,0,24.9,0.38,14289.25,14713.44,11861.52,13090.18,12475.85
Electronic City,tech_park,2026-02-04,Wednesday,weekday,6,0,24.9,0.38,27267.34,29426.89,14289.25,26662.37,20475.81
Electronic City,tech_park,2026-02-04,Wednesday,weekday,7,0,24.9,0.38,47792.36,53949.3,27267.34,47641.67,37454.5
Electronic City,tech_park,2026-02-04,Wednesday,weekday,8,0,24.9,0.38,67945.09,73567.22,47792.36,68105.93,57949.14
Electronic City,tech_park,2026-02-04,Wednesday,weekday,9,0,24.9,0.38,72644.57,78471.71,67945.09,73403.81,70674.45
Electronic City,tech_park,2026-02-04,Wednesday,weekday,10,0,24.9,0.38,69732.45,70624.54,72644.57,64800.76,68722.67
Electronic City,tech_park,2026-02-04,Wednesday,weekday,11,0,24.9,0.38,57284.86,58853.78,69732.45,58999.4,64365.93
